artist;title;description;dateSince;material;image;lat;lng;animal
De artiest volgt nog;Speeldieren;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.354532004143699;POINT4.81682900121058;hond
De artiest volgt nog;Spelende hond;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.344391621230798;POINT4.88214612134678;hond
De artiest volgt nog;Droombeeld;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.378854295007798;POINT4.87758636601856;hond
De artiest volgt nog;Dierfiguren, Basisschool de Ark;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.326743004127003;POINT4.87471200126709;hond, dromedaris
De artiest volgt nog;Nationaal Monument;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3727925165052;POINT4.89373862872209;hond, duif, leeuw
De artiest volgt nog;Het kompas;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.357180889218597;POINT4.8908371910261;ijsbeer, koala, walrus
De artiest volgt nog;Poolkleed;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.388979964444303;POINT4.88747567066683;ijsbeer, zeeleeuw, hert, wolf, walvis, vogel
De artiest volgt nog;Vlucht van een kakatoe;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.340242494927899;POINT4.9064469350458;kakatoe
De artiest volgt nog;Kangoeroe met jong;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.350182004140798;POINT4.90668280130016;kangoeroe
De artiest volgt nog;Zonder titel - Onbekend;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.355467304144298;POINT4.8304076012242;kat, ezel
De artiest volgt nog;Zonder titel - 1995 Ootje oxenaar;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.363825704148802;POINT4.92680740132093;kikker, koe, paard
De artiest volgt nog;Zonder titel - Renze Hettema;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.360625904147298;POINT4.83084500122489;kip
De artiest volgt nog;"Gevelstenen ""dierfiguren""";De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.345535904138103;POINT4.90439500129766;koe, konijn, ezel
De artiest volgt nog;Corned Beef;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3682286601952;POINT4.94246626509112;koe, rund
De artiest volgt nog;ZUID 1930;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.341160186727201;POINT4.89550352225414;lam
De artiest volgt nog;De mens in de schepping;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.349208838627703;POINT4.89951610694482;leeuw
De artiest volgt nog;Gevelstenen Koninginneweg 2;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.353206904142802;POINT4.86280830125647;leeuw
De artiest volgt nog;Leeuwen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.357988307882202;POINT4.90807451182683;leeuw
De artiest volgt nog;Leeuwen Beatrixpark Artsenijhof;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.341061863516899;POINT4.8851501954463;leeuw
De artiest volgt nog;Leeuwen Beatrixpark bij toegang RAI;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.341592806255697;POINT4.88507509359383;leeuw
De artiest volgt nog;Zonder titel - Jan van der Woude;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.360085204146998;POINT4.83659770123061;leeuw
De artiest volgt nog;Zonder titel (Waterspuwer leeuwekop);De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3509339111367;POINT4.93312094617534;leeuw
De artiest volgt nog;Monument Indië Nederland;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.350126344333098;POINT4.86557006961846;leeuw, duif, slang, vogel, tijger
De artiest volgt nog;Bladmotieven en merel;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.381997839499697;POINT4.86677169925987;merel, vogel
De artiest volgt nog;Mosselbestekjurk (1998);De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.400793604170701;POINT4.93377190132963;mossel
De artiest volgt nog;Overburen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.355327913739202;POINT4.91039112406169;mus, duif, vlo, hond, mens, kat, muis, rat
De artiest volgt nog;Animaris Rhinoceros Transport;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.354888568806103;POINT4.77151459665154;neushoorn
De artiest volgt nog;Nijlpaard;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.357369874636397;POINT4.98980596799926;nijllpaard
De artiest volgt nog;Nijlpaardjes;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.333880400640403;POINT4.88436699041283;nijlpaard
De artiest volgt nog;India;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.370567965967403;POINT4.83100780161942;olifant
De artiest volgt nog;Olifant;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.369503004152598;POINT4.81724600121174;olifant
De artiest volgt nog;Dubbeltjespanden;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.360853194310202;POINT4.91217613350831;olifant, kat, vogel
De artiest volgt nog;Olifant en nijlpaard;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.348028304139802;POINT4.86190430125531;olifant, nijlpaard
De artiest volgt nog;Vrouw, kind, boer en muzikant;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.380017004158802;POINT4.8288090012238;os
De artiest volgt nog;De geboorte van de daad;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.349182623899203;POINT4.89955902228909;paard
De artiest volgt nog;Gevleugeld paard;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.359713504146903;POINT4.78068450117473;paard
De artiest volgt nog;In Gesprek;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;0;POINT0;paard
De artiest volgt nog;Manegedeuren - Zonder titel;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;0;POINT0;paard
De artiest volgt nog;Paard;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.359209104146501;POINT4.82728790122126;paard
De artiest volgt nog;Paard;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3485317041401;POINT4.83787100123132;paard
De artiest volgt nog;Polospeler en Ruiter te paard;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.344744304137798;POINT4.86541980125867;paard
De artiest volgt nog;Ridderfiguren;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.383829004161001;POINT4.82827300122345;paard
De artiest volgt nog;Ruiter;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.328927101175097;POINT4.87026929981622;paard
De artiest volgt nog;Ruiter;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3685707216897;POINT4.80507016301899;paard
De artiest volgt nog;Ruiterstandbeeld Koningin Wilhelmina;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.368852304152;POINT4.8904074012848;paard
